,Temp Dew Point,Humidity,Wind Speed,temp_diff,Northern Hemisphere,Southern Hemisphere,Eastern Hemisphere,Western Hemisphere,dew_hum_product,dew_hum_sum,dew_hum_ratio,dew_diff_sum,dew_diff_sum_dew_hum_sum_ratio,Temperature
Temp Dew Point,1.0,0.2118175591093084,-0.12405340009435634,0.08193349680446399,-0.17268147775447376,0.1726814777544754,-0.09283194520290101,0.09283194520289464,0.9642761840396835,0.6718580806543017,0.8482154439491678,0.9709013319609219,0.06370690762101133,0.9162881570636914
Humidity,0.2118175591093084,1.0,-0.05911551086322585,-0.06204283484040351,-0.17289127050771996,0.1728912705077191,-0.1860413787887834,0.18604137878878496,0.37613166981184654,0.8661846413269169,0.01358899812791947,0.18657563390441026,0.01769872158063464,-0.18291999428977468
Wind Speed,-0.12405340009435634,-0.05911551086322585,1.0,-0.04084605247932151,-0.08499468504523104,0.08499468504523058,-0.13782467370910928,0.13782467370910811,-0.1337450843444724,-0.10823405811894003,-0.09548907430000657,-0.12781610197110846,-0.005901265514071258,-0.11520406454157414
temp_diff,0.08193349680446399,-0.06204283484040351,-0.04084605247932151,1.0,-0.0005819072476477045,0.0005819072476476999,-0.00054225853202416,0.0005422585320241707,0.047196334369763865,-0.005126052819711818,0.1066025905912776,0.3182240222416548,0.02435102235031383,0.12242869876033413
Northern Hemisphere,-0.17268147775447376,-0.17289127050771996,-0.08499468504523104,-0.0005819072476477045,1.0,-1.0000000000000007,0.9288902388405152,-0.928890238840514,-0.1895325583599472,-0.21932688092446004,-0.12041304681168997,-0.1643968152999462,-0.010639868807029496,-0.10575745495455102
Southern Hemisphere,0.1726814777544754,0.1728912705077191,0.08499468504523058,0.0005819072476476999,-1.0000000000000007,1.0,-0.928890238840514,0.9288902388405139,0.18953255835994878,0.21932688092446104,0.12041304681169204,0.16439681529994776,0.01063986880702958,0.1057574549545531
Eastern Hemisphere,-0.09283194520290101,-0.1860413787887834,-0.13782467370910928,-0.00054225853202416,0.9288902388405152,-0.928890238840514,1.0,-1.0000000000000004,-0.11326781419318058,-0.18846386094977377,-0.05322605766412691,-0.08843331763188358,-0.006820941796910414,-0.01867601793752824
Western Hemisphere,0.09283194520289464,0.18604137878878496,0.13782467370910811,0.0005422585320241707,-0.928890238840514,0.9288902388405139,-1.0000000000000004,1.0,0.11326781419317514,0.18846386094977205,0.05322605766412254,0.08843331763187758,0.006820941796910141,0.018676017937521657
dew_hum_product,0.9642761840396835,0.37613166981184654,-0.1337450843444724,0.047196334369763865,-0.1895325583599472,0.18953255835994878,-0.11326781419318058,0.11326781419317514,1.0,0.7781213855783649,0.7373384536381511,0.9285734334155705,0.05328240591860042,0.815283631954548
dew_hum_sum,0.6718580806543017,0.8661846413269169,-0.10823405811894003,-0.005126052819711818,-0.21932688092446004,0.21932688092446104,-0.18846386094977377,0.18846386094977205,0.7781213855783649,1.0,0.44405226024319105,0.6378488936913076,0.04598847809412584,0.3298915986404651
dew_hum_ratio,0.8482154439491678,0.01358899812791947,-0.09548907430000657,0.1066025905912776,-0.12041304681168997,0.12041304681169204,-0.05322605766412691,0.05322605766412254,0.7373384536381511,0.44405226024319105,1.0,0.8324392491172237,0.07447525961615098,0.8449167081414041
dew_diff_sum,0.9709013319609219,0.18657563390441026,-0.12781610197110846,0.3182240222416548,-0.1643968152999462,0.16439681529994776,-0.08843331763188358,0.08843331763187758,0.9285734334155705,0.6378488936913076,0.8324392491172237,1.0,0.06645013684741448,0.9010039799996001
dew_diff_sum_dew_hum_sum_ratio,0.06370690762101133,0.01769872158063464,-0.005901265514071258,0.02435102235031383,-0.010639868807029496,0.01063986880702958,-0.006820941796910414,0.006820941796910141,0.05328240591860042,0.04598847809412584,0.07447525961615098,0.06645013684741448,1.0,0.052941601838845775
Temperature,0.9162881570636914,-0.18291999428977468,-0.11520406454157414,0.12242869876033413,-0.10575745495455102,0.1057574549545531,-0.01867601793752824,0.018676017937521657,0.815283631954548,0.3298915986404651,0.8449167081414041,0.9010039799996001,0.052941601838845775,1.0
