Year,Month,Day,Temperature,Temp Dew Point,Humidity,Wind Direction,Wind Speed,Precipitation,Condition,Location,Serialized Hemisphere
2015,1,1,27.87037037,23.88888889,79.16666667,E,6.169152,0,Mostly Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,1,2,27.87037037,23.7037037,78,E,6.973824,0,Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,1,3,28.05555556,23.98148148,78.16666667,W,6.437376,0,Mostly Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,1,4,28.7962963,23.88888889,75.16666667,S,4.828032,0,Partly Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,1,5,27.96296296,23.7962963,77.83333333,W,3.755136,0,Mostly Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,1,6,28.14814815,23.7962963,77,S,6.169152,0,Partly Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,1,7,27.87037037,23.7037037,78.66666667,W,4.828032,0,Mostly Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,1,8,27.59259259,23.7962963,80,S,4.559808,0,Mostly Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,1,9,27.5,23.42592593,78.83333333,E,6.973824,0,Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,1,10,27.87037037,23.88888889,79.16666667,S,5.632704,0,Mostly Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,1,11,28.14814815,23.88888889,77.16666667,S,7.510272,0,Mostly Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,1,12,28.14814815,23.7037037,77.5,S,4.291584,0,Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,1,13,28.61111111,23.7962963,76.16666667,SSE,5.900928,0,Mostly Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,1,14,28.7962963,23.7962963,74.16666667,W,3.755136,0,Mostly Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,1,15,27.31481481,23.24074074,78.66666667,SW,4.291584,0,Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,1,16,28.88888889,23.66666667,73.4,W,5.7936384,0,Mostly Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,1,17,28.14814815,16.75925926,61.5,W,6.437376,0,Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,1,18,28.33333333,23.77777778,77.2,WSW,5.7936384,0,Mostly Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,1,19,28.33333333,23.98148148,77.66666667,S,3.755136,0,Partly Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,1,20,27.87037037,23.88888889,79.16666667,S,4.828032,0,Mostly Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,1,21,28.42592593,23.7962963,76.33333333,S,4.828032,0,Mostly Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,1,22,27.03703704,23.24074074,80.5,WSW,3.218688,0,Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,1,23,28.33333333,23.33333333,74.6,SSE,5.4717696,0,Partly Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,1,24,27.68518519,23.7962963,79.66666667,W,6.973824,0,Mostly Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,1,25,28.98148148,23.61111111,73.16666667,SSE,5.632704,0,Fair,"Sultan Kudarat, Maguindanao, Philippines",1
2015,1,26,27.40740741,23.33333333,78.83333333,SSE,4.02336,0,Partly Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,1,27,28.61111111,23.98148148,76.16666667,SSE,4.291584,0,Mostly Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,1,28,28.7962963,23.98148148,75.33333333,S,6.437376,0,Mostly Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,1,29,29.22222222,24,74.2,SSE,3.8624256,0,Partly Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,1,30,26.94444444,23.33333333,80.33333333,S,6.7056,0,Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,1,31,28.14814815,16.75925926,61.5,W,6.437376,0,Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,2,1,28.05555556,23.42592593,76.5,SSE,8.583168,0,Partly Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,2,2,28.05555556,23.42592593,76.16666667,WSW,5.900928,0,Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,2,3,28.7037037,23.42592593,73.16666667,S,4.828032,0,Mostly Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,2,4,29.44444444,22.96296296,68.83333333,WSW,5.900928,0,Partly Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,2,5,29.07407407,22.59259259,68.16666667,W,7.510272,0,Partly Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,2,6,28.51851852,23.7037037,75.16666667,E,7.778496,0,Mostly Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,2,7,29.07407407,17.31481481,60.33333333,E,8.04672,0,Partly Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,2,8,28.88888889,23.66666667,73.8,S,5.1499008,0,Partly Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,2,9,28.7962963,23.7962963,74.66666667,SSE,4.828032,0,Mostly Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,2,10,29.44444444,23.88888889,72.33333333,ESE,4.291584,0,Partly Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,2,11,29.11111111,23.77777778,74.2,W,4.828032,0,Partly Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,2,12,28.88888889,23.42592593,73.33333333,W,7.778496,0,Partly Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,2,13,29.16666667,23.7962963,73.16666667,W,6.437376,0,Mostly Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,2,14,28.14814815,23.42592593,76.66666667,E,9.119616,0,Mostly Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
2015,2,15,27.5,17.03703704,66,WSW,5.632704,0,Partly Cloudy,"Sultan Kudarat, Maguindanao, Philippines",1
