Year,Month,Day,Temperature,Temp Dew Point,Humidity,Wind Direction,Wind Speed,Precipitation,Condition,Location,Serialized Hemisphere
2015,1,1,22.24747474747475,16.81818181818182,74.45454545454545,N,8.193024000000001,0.0,Fair,"Abu Dhabi, Abu Dhabi, United Arab Emirates",4
2015,1,2,20.955555555555556,17.244444444444444,81.24,NNW,7.66047744,0.0,Fair,,
2015,1,3,18.31541218637993,16.093189964157705,88.70967741935483,ESE,9.188835096774195,0.0,Fog,"Abu Dhabi, Abu Dhabi, United Arab Emirates",4
2015,1,4,18.827160493827158,13.724279835390945,75.4074074074074,SE,9.83488,0.0,Fair,"Abu Dhabi, Abu Dhabi, United Arab Emirates",4
2015,1,5,20.90277777777778,11.180555555555555,58.666666666666664,ESE,12.271248,0.0,Fair,"Abu Dhabi, Abu Dhabi, United Arab Emirates",4
2015,1,6,20.757575757575758,9.8989898989899,52.90909090909091,E,11.484864000000002,0.0,Fair,"Abu Dhabi, Abu Dhabi, United Arab Emirates",4
2015,1,7,19.08119658119658,13.974358974358974,73.11538461538461,SSE,8.54190276923077,0.0,Fair,"Abu Dhabi, Abu Dhabi, United Arab Emirates",4
2015,1,8,18.352490421455936,11.685823754789274,73.20689655172414,SE,9.989031724137932,0.0,Fog,"Abu Dhabi, Abu Dhabi, United Arab Emirates",4
2015,1,9,20.65656565656566,14.31818181818182,67.5909090909091,NW,13.752576,0.0,Fair,"Abu Dhabi, Abu Dhabi, United Arab Emirates",4
2015,1,10,20.355555555555554,12.444444444444445,64.44,ESE,10.9435392,0.0,Fair,"Abu Dhabi, Abu Dhabi, United Arab Emirates",4
2015,1,11,20.78282828282828,15.025252525252528,69.72727272727273,NW,12.362688,0.0,Fair,"Abu Dhabi, Abu Dhabi, United Arab Emirates",4
2015,1,12,20.25252525252525,13.636363636363637,66.27272727272727,NW,22.603968000000002,0.0,Fair,"Abu Dhabi, Abu Dhabi, United Arab Emirates",4
2015,1,13,19.696969696969695,11.994949494949497,61.13636363636363,NW,17.117568000000002,0.0,Fair,"Abu Dhabi, Abu Dhabi, United Arab Emirates",4
