Year,Month,Day,Temperature,Temp Dew Point,Humidity,Wind Direction,Wind Speed,Precipitation,Condition,Location,Serialized Hemisphere
2015,1,1,23.255555555555556,9.922222222222222,51.16,W,15.06345984,0.0,Fair,"Canberra, Australian Capital Territory, Australia",2
2015,1,2,23.224637681159418,12.355072463768117,54.608695652173914,ENE,10.985522086956523,0.0,Fair,"Canberra, Australian Capital Territory, Australia",2
2015,1,3,24.050505050505055,13.727272727272728,61.345454545454544,N,11.996928,0.0,Fair,"Canberra, Australian Capital Territory, Australia",2
2015,1,4,23.199588477366248,16.47119341563786,68.07407407407408,N,16.868309333333332,0.0,Fair,"Canberra, Australian Capital Territory, Australia",2
2015,1,5,21.266666666666666,15.377777777777778,70.96,N,12.134453760000001,0.0,Partly Cloudy,"Canberra, Australian Capital Territory, Australia",2
2015,1,6,22.06018518518518,15.439814814814813,68.02083333333333,E,12.170664,0.0,Mostly Cloudy,"Canberra, Australian Capital Territory, Australia",2
2015,1,7,22.57683215130024,14.503546099290778,64.70212765957447,W,9.96423625531915,0.0,Fair,"Canberra, Australian Capital Territory, Australia",2
2015,1,8,24.215686274509807,14.66230936819172,61.490196078431374,NW,12.71697317647059,0.0,Fair,"Canberra, Australian Capital Territory, Australia",2
2015,1,9,22.34800838574424,16.928721174004192,75.30188679245283,N,13.299861735849056,0.0,Partly Cloudy,"Canberra, Australian Capital Territory, Australia",2
2015,1,10,19.771241830065364,17.49455337690632,88.47058823529412,ESE,9.056504470588237,0.0,Cloudy,"Canberra, Australian Capital Territory, Australia",2
2015,1,11,18.266283524904214,16.513409961685824,89.82758620689656,SE,11.071176827586207,0.0,Rain,"Canberra, Australian Capital Territory, Australia",2
2015,1,12,18.63333333333334,11.966666666666665,66.44,SE,17.026859520000002,0.0,Mostly Cloudy,"Canberra, Australian Capital Territory, Australia",2
2015,1,13,19.591194968553463,16.21593291404612,81.9245283018868,N,11.629787773584907,0.0,Mostly Cloudy,"Canberra, Australian Capital Territory, Australia",2
2015,1,14,20.254629629629626,15.648148148148145,75.33333333333333,NW,24.676608,0.0,Partly Cloudy,"Canberra, Australian Capital Territory, Australia",2
2015,1,15,20.0,11.316425120772948,60.630434782608695,WNW,15.42871095652174,0.0,Fair,"Canberra, Australian Capital Territory, Australia",2
2015,1,16,19.326241134751776,9.550827423167847,58.148936170212764,WNW,18.11368034042553,0.0,Fair,"Canberra, Australian Capital Territory, Australia",2
2015,1,17,21.456790123456788,7.641975308641975,42.55555555555556,WNW,22.280473600000004,0.0,Fair,"Canberra, Australian Capital Territory, Australia",2
2015,1,18,18.92434988179669,8.09692671394799,54.680851063829785,W,13.217165617021278,0.0,Fair,"Canberra, Australian Capital Territory, Australia",2
2015,1,19,16.822222222222223,11.222222222222223,70.1,ENE,16.833738240000002,0.0,Mostly Cloudy,"Canberra, Australian Capital Territory, Australia",2
2015,1,20,18.356481481481485,12.615740740740742,69.91666666666667,ENE,15.858744,0.0,Mostly Cloudy,"Canberra, Australian Capital Territory, Australia",2
2015,1,21,20.555555555555557,15.076252723311548,72.33333333333333,SE,12.369859764705884,0.0,Mostly Cloudy,"Canberra, Australian Capital Territory, Australia",2
2015,1,22,21.64609053497942,15.627572016460903,72.33333333333333,NNE,8.523562666666669,0.0,Partly Cloudy,"Canberra, Australian Capital Territory, Australia",2
2015,1,23,23.756038647342994,16.03864734299517,65.8913043478261,N,10.950536347826088,0.0,Fair,"Canberra, Australian Capital Territory, Australia",2
2015,1,24,22.66025641025641,17.617521367521366,74.57692307692308,NW,13.091394461538464,0.0,Fair,"Canberra, Australian Capital Territory, Australia",2
2015,1,25,21.907756813417194,11.81341719077568,60.339622641509436,W,18.704828377358492,0.0,Fair,"Canberra, Australian Capital Territory, Australia",2
2015,1,26,16.153846153846157,11.314102564102562,73.0576923076923,E,16.464827076923076,0.0,Mostly Cloudy,"Canberra, Australian Capital Territory, Australia",2
2015,1,27,15.664488017429193,10.871459694989106,72.98039215686275,SSE,14.042315294117646,0.0,Mostly Cloudy,"Canberra, Australian Capital Territory, Australia",2
2015,1,28,16.311111111111114,9.4,64.8,ESE,17.89590528,0.0,Mostly Cloudy,"Canberra, Australian Capital Territory, Australia",2
2015,1,29,14.866666666666665,6.066666666666667,57.22,S,24.20453376,0.0,Fair,"Canberra, Australian Capital Territory, Australia",2
2015,1,30,14.67391304347826,6.340579710144926,58.47826086956522,S,14.868939130434784,0.0,Mostly Cloudy,"Canberra, Australian Capital Territory, Australia",2
2015,1,31,18.92434988179669,8.09692671394799,54.680851063829785,W,13.217165617021278,0.0,Fair,"Canberra, Australian Capital Territory, Australia",2
2015,2,1,16.282051282051285,11.37820512820513,75.4423076923077,CALM,9.74891076923077,0.0,Mostly Cloudy,"Canberra, Australian Capital Territory, Australia",2
2015,2,2,16.322222222222223,10.966666666666669,72.18,E,14.194414080000001,0.0,Fair,"Canberra, Australian Capital Territory, Australia",2
2015,2,3,16.992753623188406,8.780193236714974,62.58695652173913,SE,9.306206608695653,0.0,Fair,"Canberra, Australian Capital Territory, Australia",2
2015,2,4,16.243961352657006,11.702898550724639,75.08695652173913,SE,11.230422260869567,0.0,Mostly Cloudy,"Canberra, Australian Capital Territory, Australia",2
2015,2,5,16.624737945492665,11.132075471698112,72.13207547169812,E,11.963802566037737,0.0,Partly Cloudy,"Canberra, Australian Capital Territory, Australia",2
2015,2,6,18.58796296296296,11.261574074074076,66.60416666666667,ENE,12.07008,0.0,Fair,"Canberra, Australian Capital Territory, Australia",2
2015,2,7,19.544444444444448,10.855555555555554,64.06,N,9.10888704,0.0,Fair,"Canberra, Australian Capital Territory, Australia",2
2015,2,8,23.828502415458942,11.002415458937197,49.95652173913044,ESE,11.40535095652174,0.0,Fair,"Canberra, Australian Capital Territory, Australia",2
2015,2,9,18.51473922902494,13.174603174603176,72.53061224489795,ESE,15.732158693877551,0.0,Mostly Cloudy,"Canberra, Australian Capital Territory, Australia",2
2015,2,10,20.82264957264957,14.807692307692308,70.76923076923077,E,10.0584,0.0,Mostly Cloudy,"Canberra, Australian Capital Territory, Australia",2
2015,2,11,22.745726495726494,15.149572649572649,64.88461538461539,E,11.265408,0.0,Partly Cloudy,"Canberra, Australian Capital Territory, Australia",2
2015,2,12,20.428240740740737,15.162037037037035,72.5,ESE,15.25524,0.0,Mostly Cloudy,"Canberra, Australian Capital Territory, Australia",2
2015,2,13,20.167714884696018,13.836477987421384,68.60377358490567,SE,13.785701433962265,0.0,Mostly Cloudy,"Canberra, Australian Capital Territory, Australia",2
2015,2,14,18.071278825995805,14.800838574423478,82.58490566037736,NNW,7.925260075471699,0.0,Mostly Cloudy,"Canberra, Australian Capital Territory, Australia",2
2015,2,15,19.609053497942384,14.34156378600823,76.66666666666667,E,9.477248000000001,0.0,Cloudy,"Canberra, Australian Capital Territory, Australia",2
2015,2,16,21.980676328502412,14.045893719806763,65.58695652173913,E,9.271220869565218,0.0,Fair,"Canberra, Australian Capital Territory, Australia",2
2015,2,17,23.522458628841605,13.971631205673757,60.08510638297872,NE,11.402373446808511,0.0,Fair,"Canberra, Australian Capital Territory, Australia",2
2015,2,18,21.51851851851852,13.358024691358025,63.71111111111111,E,14.233753600000002,0.0,Fair,"Canberra, Australian Capital Territory, Australia",2
2015,2,19,21.20370370370371,13.726851851851855,66.1875,ENE,12.371832000000001,0.0,Fair,"Canberra, Australian Capital Territory, Australia",2
2015,2,20,21.15839243498818,14.030732860520096,67.63829787234043,ESE,10.101201702127659,0.0,Fair,"Canberra, Australian Capital Territory, Australia",2
2015,2,21,21.06575963718821,15.702947845804987,73.6734693877551,E,12.316408163265306,0.0,Fair,"Canberra, Australian Capital Territory, Australia",2
2015,2,22,20.933333333333337,15.088888888888887,72.8,E,12.00570624,0.0,Partly Cloudy,"Canberra, Australian Capital Territory, Australia",2
2015,2,23,21.876138433515486,14.31693989071038,67.0327868852459,E,15.222811278688525,0.0,Fair,"Canberra, Australian Capital Territory, Australia",2
2015,2,24,19.1304347826087,14.891304347826084,77.17391304347827,ESE,12.804780521739131,0.0,Mostly Cloudy,"Canberra, Australian Capital Territory, Australia",2
2015,2,25,17.67094017094017,12.585470085470085,72.86538461538461,SSE,14.886432000000001,0.0,Mostly Cloudy,"Canberra, Australian Capital Territory, Australia",2
2015,2,26,18.89978213507625,13.082788671023964,70.09803921568627,S,7.415604705882353,0.0,Mostly Cloudy,"Canberra, Australian Capital Territory, Australia",2
2015,2,27,19.988179669030735,12.683215130023642,68.82978723404256,NNE,8.663064510638298,0.0,Fair,"Canberra, Australian Capital Territory, Australia",2
2015,2,28,22.1256038647343,13.586956521739133,64.8913043478261,W,9.481135304347827,0.0,Fair,"Canberra, Australian Capital Territory, Australia",2
